text,is_hatespeech
"Hari Buruh, Marsinah Simbol Perlawan Terhadap Penindasan dan Ketidakadilan HariBuruh kasusmarsinah pelanggaranham Buruh Marsinah <link>",False
Amuk Massa Pasca Driver Ojol Meninggal Akibat Ditabrak Mobil Lapis Baja Brimob Pembubaran aksi demo DPR 28 Agustus 2025 menimbulkan korban. Dua Driver Ojol Ditabrak Mobil Brimob Saat Pembubaran Massa Demo DPR 28-8-2025. Affan Kurniawan Meninggal. Umar Masih Dirawat di Rumah Sakit. Di mana Ahmad Sahroni yang sebut rakyat tolol? Anggota DPR dan polisi harus tanggung jawab.,False
<user> Klo Suaminya terlibat pembunuhan ya pecat dan hukum mati aja. Kelakuan sudah sangat biadab!!!,True
-dips! Gombel turun masi ditutup gaa? Masi macet?,True
Masyarakat yang menemukan dugaan penyelewengan dana desa tapi belum ada tindak lanjut dari inspektorat kejari lampung timur .. fyppppppppppppppppppppppp gerindra fypシ゚viral🖤tiktok prabowo gibranrakabuming,False
"<user> Budi Arie sudah kena reshuffle, bisa dong judol di berantas yg merugikan rakyat banyak",False
"<user> Mantan copet keluar penjara jd jambret, Mantan jambret keluar jadi curanmor Penjara adalah sarana pendidikan utk upgrade kejahatan <user> menurut gimana tentang residivis?",False
Tulisan ini Pasti Ga disukai mrk yg merasa paling SOK BIJAK dan merasa Kalo demo itu pasti dibiayai asing 😂 Sblm ada bukti spt Marsela Santoso AKU MENOLAK PERCAYA DEMO DPR INI DIBAYARIN OLIGARKI,True
"<user> apresiasi woi, lu liat tuh korupsi oplosan bensin, ada ga direksinya yg sujud minta maaf ke konsumen",False
"terus kok bisa mogok, katanya pahammmmm cuaksssss pertamina bahlil pertalite CapCut",True
"<user> <user> Inilah yg namanya kebijakan ngawur, kalo masalah biaya itu relatif dan kita gak tahu berapa besarannya, tapi membebani yang tidak ikut harus bayar itu NGAWUR dan terindikasi pungli.",True
"Neng jakarta wes dilarang, neng yojo malah mulai😂",False
Ini Akun ngajak Demo &amp; mencela makanan yang di beri sama brimob di kwitang <link>,False
"<user> Sakdurunge Polsek Depok Timur, iki Koramil Depok, kebangetan nak gak ketemu pelakune..sing dicatut institusi lo ki.",True
<user> Illegal Marijuana producers dont want it either,False
"<user> Kok percoyo omongane won won, kan sumber cuan teko suporter sing away, lah nek di aktifno teko endi wonge oleh ceperane",True
Bebas pungli,False
"<user> cuan bgt ya jadi keamanan, beking judol, rokok, bandar, tambang.Pesta poraa bgt mereka",False
Semua polisi pembunuh deymn why i forgot the semua,True
<user> A big fuck no hes a commie suporter.,True
"<user> <user> Tp jujur aneh loh Dari sekian bnyk orang timur, kenapa si tolol ini jd penjabat Lama lama bikin orang rasis",True
<user> Aku nunggu macet jam 7. Lebih tololnya pesepeda (onthel) kok ttp ikut aturan. Padahal ga ad nopol. Buat apa jga diperiksa.,True
"Sudahlah pak tua jangan cari kambing hitam lagi, itu murni rakyat yang sedang marah pada DPR. Andaikan DPR tidak joget dan Brimob tidak blunder, pasti aman <link> Mantan Kepala BIN Hendropriyono mengungkap adanya campur tangan asing dalam demo 28 Agustus.",False
"▶️ DPR terus diguyur tunjangan, sementara rakyat diperas dengan pajak berlapis. ▶️ Harga beras melonjak, pekerjaan makin sulit. ▶️ Mahasiswa &amp; rakyat kecil jadi martir perjuangan. KeadilanSosial",False
Brave pink &amp; siap menggulingkan pemerintah ☝,False
"Adee kalau pengusaha besar dilarang ditindak padahal merugikan rakyat ratusan triliunan pertahun.... sedangkan rakyat kecil yang melakukan penipuan, langsung di tindak.... inilah ciri ciri negara gagal kata <user> <user> indonesiajaya <link>",True
<user> Blokir Rekening Dormant tempat Bandar Judol pencucian uang bahaya banget... Basmi Judi online sampai habis ke Akarnya bikin susah masyarakat aja,False
<user> oknum ga beres demi kuasa,True
"Pak Prabowo ngasih teladan dalam menangani isu daerah, nggak cepat ambil keputusan tanpa pertimbangkan semua suara PemerintahBersamaAceh",False
<user> Ace Ventura uda pensiun dari detektif jadi ojol <link>,False
"<user> <user> Berharap tidak pakai dana desa lagi , puyeng kades, blm bicara standart perawatan bisa byk lagi kades masuk bui",False
<user> GK ENK SUMPAH 😭😭😭 (km mek seneng jambret e),False
"<user> gasuka kalo mo berangkat ujan2n 😭rasanya pgen nangis djalan.. apalagi semarang ujan dkit macet, banjir 😢 NO!!",False
<user> <user> Kerusuhan 98,False
<user> Masalahnya dejavu penghianatan buat orang bpd tu bunuh diri njenkkkkkk😭,True
"<user> Kalau paham tujuannya, blokir Rekening Dormant ini jelas senjata ampuh buat pukul mafia judi online",False
"<user> Lu ngundurin diri dari wapres, selesai deh keributan itu",True
"✨ Breaking News Update ✨ Presiden Prabowo Subianto berencana membentuk Komite Reformasi Polri 🛡️. Salah satu nama yang sudah dipastikan bergabung adalah Mahfud MD, mantan Menko Polhukam. 🙌 Menurut Wakil Ketua DPR Sufmi Dasco Ahmad, Mahfud dinilai tepat karena rekam jejaknya yang kuat di bidang politik, hukum, dan keamanan. 🔥 👉 Figur lain yang akan bergabung dalam komite ini masih menunggu keputusan Presiden Prabowo. ReformasiPolri Prabowo MahfudMD IndonesiaUpdate",False
